"FILE_NAME","Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"SPRING_2000","MEB 2319",1,"U0035099","SADWICK, L. P.","CP SC 3720-006","Analog/Dig Interfaces","LABORATORY","H1505",180
"SPRING_2000","MEB 2319",1,"U0035099","SADWICK, L. P.","CP SC 3720-007","Analog/Dig Interfaces","LABORATORY","F0900",180
"SPRING_2000","MEB 2319",1,"U0035099","SADWICK, L. P.","CP SC 3720-008","Analog/Dig Interfaces","LABORATORY","T1800",180
"SPRING_2000","EMCB 102",0,"U0031683","BRUNVAND, E. L.","CP SC 4500-001","Softwre Engineering Lab","LECTURE","T1400|H1400",80
"SPRING_2000","EMCB 105",0,"U0029515","SHIRLEY, P. S.","CP SC 5020-001","Algorithms/Data Structs","LECTURE","T1225|H1225",80
"SPRING_2000","EMCB 120",0,"U0030110","HENDERSON, T. C.","CP SC 5320-001","Computer Vision","LECTURE","M1540|W1540",80
"SPRING_2000","EMCB 122",0,"U0028599","RILOFF, E. M.","CP SC 5340-001","Natural Language","LECTURE","M1400|W1400",80
"SPRING_2000","EMCB 101",0,"U0029074","HSIEH, W. C.","CP SC 5470-001","Compilers","LECTURE","M0940|W0940|F0940",50
"SPRING_2000","MEB 3225",30,"U0029074","HSIEH, W. C.","CP SC 5470-002","Compilers","DISCUSSION","F0835",50
"SPRING_2000","MEB 2325",49,"U0029074","HSIEH, W. C.","CP SC 5470-003","Compilers","DISCUSSION","F0835",50
"SPRING_2000","EMCB 114",0,"U0029074","HSIEH, W. C.","CP SC 5470-004","Compilers","DISCUSSION","F1045",50
"SPRING_2000","MINES 205",0,"U0029074","HSIEH, W. C.","CP SC 5470-005","Compilers","DISCUSSION","F1045",50
"SPRING_2000","EMCB 110",0,"U0029088","HANSEN, C. D.","CP SC 5610-001","Computer Graphics II","LECTURE","M1045|W1045|F1045",50
"SPRING_2000","EMCB 120",0,"U0030676","JOHNSON, C. R.","CP SC 5630-001","Scientifc Visualization","LECTURE","T1400|H1400",80
"SPRING_2000","EMCB 103",0,"U0031097","SMITH, K. F.","CP SC 5720-001","Adv IC Design II","LECTURE","M1400|W1400",80
"SPRING_2000","MIL S 208",0,"U0030884","MYERS, C. J.","CP SC 5750-001","Syn/Verif Asyn VLSI Sys","LECTURE","M1530|W1530",90
"SPRING_2000","EMCB 124",0,"U0028138","LINDSTROM, G. E.","CP SC 5960-001","Special Topics","SPECIAL TOPICS","T1225|H1225",80
"SPRING_2000","EMCB 110",0,"U0029088","HANSEN, C. D.","CP SC 5961-001","Special Topics","SPECIAL TOPICS","M1045|W1045|F1045",50
"SPRING_2000","MEB 3151",1,"U0080973","LIVNAT, Y.","CP SC 5963-001","Special Topics","SPECIAL TOPICS","T0910|H0910",80
"SPRING_2000","MEB 2325",49,"U0030391","HOLLAAR, L. A.","CP SC 5965-001","Special Topics","LECTURE","M1700",100
"SPRING_2000","MEB 3151",1,"U0035173","THOMPSON, W. B.","CP SC 6010-001","Research Proposals","LECTURE","M1255|W1255",80
"SPRING_2000","EMCB 120",0,"U0030110","HENDERSON, T. C.","CP SC 6320-001","Computer Vision","LECTURE","M1540|W1540",80
"SPRING_2000","EMCB 122",0,"U0028599","RILOFF, E. M.","CP SC 6340-001","Natural Language","LECTURE","M1400|W1400",80
"SPRING_2000","TBD",0,"U0029780","HOLLERBACH, J. M.","CP SC 6360-001","Virtual Reality","LECTURE","M1400|W1400",80
"SPRING_2000","EMCB 112",0,"U0176314","FLATT, M.","CP SC 6520-001","Prog Langs & Semantics","LECTURE","T1225|H1225",80
"SPRING_2000","EMCB 110",0,"U0029088","HANSEN, C. D.","CP SC 6610-001","Computer Graphics II","LECTURE","M1045|W1045|F1045",50
